scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.linger-sweep,linger20-skip0,common,0,broker-ready,4096,4096,0,4096,0,22000000,23000000,475,2357680,23000000,21205001,1,982000000
baseline.linger-sweep,linger20-skip0,common,0,sealed,4096,4096,0,4096,0,22000000,23000000,548,2356483,22000000,21205001,1,1282000000
baseline.linger-sweep,linger20-skip0,original,0,broker-ready,4096,4096,0,4096,0,22000000,22000000,556,2356255,22000000,20203000,1,1222000000
baseline.linger-sweep,linger20-skip0,original,0,sealed,4096,4096,0,4096,0,22000000,22000000,556,2356255,22000000,20203000,1,1222000000
baseline.linger-sweep,linger20-skip1,common,0,broker-ready,4096,4096,0,4096,0,22000000,23000000,475,2357680,23000000,21205001,1,982000000
baseline.linger-sweep,linger20-skip1,common,0,sealed,4096,4096,0,4096,0,22000000,23000000,548,2356483,22000000,21205001,1,1282000000
baseline.linger-sweep,linger20-skip1,original,0,broker-ready,4096,4096,0,4096,0,8000000,10000000,2748,2614520,10000000,8214000,1,513000000
baseline.linger-sweep,linger20-skip1,original,0,sealed,4096,4096,0,4096,0,8000000,10000000,2748,2614520,10000000,8214000,1,513000000
baseline.linger-sweep,linger5-skip0,common,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,507,2364925,9000000,6821001,1,554000000
baseline.linger-sweep,linger5-skip0,common,0,sealed,4096,4096,0,4096,0,8000000,9000000,640,2369467,9000000,6821001,1,607000000
baseline.linger-sweep,linger5-skip0,original,0,broker-ready,4096,4096,0,4096,0,7000000,8000000,681,2370614,8000000,5820000,1,598000000
baseline.linger-sweep,linger5-skip0,original,0,sealed,4096,4096,0,4096,0,7000000,8000000,681,2370614,8000000,5820000,1,598000000
baseline.linger-sweep,linger5-skip1,common,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,507,2364925,9000000,6821001,1,554000000
baseline.linger-sweep,linger5-skip1,common,0,sealed,4096,4096,0,4096,0,8000000,9000000,640,2369467,9000000,6821001,1,607000000
