scenario,variant,profile,size,seed,adapter,offered,accepted,refused,acked,failed,duration_ns,ack_p50_ns,ack_p99_ns,ack_max_ns,failed_max_ns,first_observation_wait_p99_ns,first_observation_wait_max_ns,broker_attempts_max,broker_record_observations,attempted_records,produce_requests,wire_bytes,request_records_p50,global_pending_gap_ns,partition_pending_gap_ns,gap_partition,gap_end_kind,deadline_overshoot_count,sender_errors,max_source_lag_ns,fault_exposure_comparable,last_offer_ns,last_terminal_ns,source_offer_gap_max_ns
baseline.linger-sweep,linger5-skip0,common,full,0,native,4096,4096,0,4096,0,607000000,5000000,8000000,9000000,,5818001,6821001,1,4096,4096,640,2369467,7,8000000,9000000,2,ack,0,0,0,True,600000000,607000000,8000000
baseline.linger-sweep,linger5-skip1,original,full,0,classic,4096,4096,0,4096,0,400803000,2808000,6618000,8425000,,5415000,7223000,1,4096,4096,352,2359422,12,4404000,8425000,0,ack,0,0,0,True,394995000,400803000,10000000
baseline.linger-sweep,linger5-skip1,original,full,0,native,4096,4096,0,4096,0,513000000,4000000,8000000,9000000,,5819000,7413000,1,4096,4096,2752,2614992,1,8000000,8000000,0,ack,0,0,0,True,507000000,513000000,8000000
baseline.linger-sweep,linger5-skip1,common,full,0,classic,4096,4096,0,4096,0,400803000,2808000,6618000,8425000,,5415000,7223000,1,4096,4096,352,2359422,12,4404000,8425000,0,ack,0,0,0,True,394995000,400803000,10000000
baseline.linger-sweep,linger5-skip1,common,full,0,native,4096,4096,0,4096,0,607000000,5000000,8000000,9000000,,5818001,6821001,1,4096,4096,640,2369467,7,8000000,9000000,2,ack,0,0,0,True,600000000,607000000,8000000
baseline.linger-sweep,linger20-skip0,original,full,0,classic,4096,4096,0,4096,0,628039000,2808000,21212000,22213000,,20010000,21011000,1,4096,4096,347,2358705,12,18808000,20809000,2,ack,0,0,0,True,606422000,628039000,18808000
baseline.linger-sweep,linger20-skip0,original,full,0,native,4096,4096,0,4096,0,1222000000,6000000,22000000,22000000,,20203000,20203000,1,4096,4096,556,2356255,8,20000000,22000000,0,ack,0,0,0,True,1200000000,1222000000,20000000
baseline.linger-sweep,linger20-skip0,common,full,0,classic,4096,4096,0,4096,0,628039000,2808000,21212000,22213000,,20010000,21011000,1,4096,4096,347,2358705,12,18808000,20809000,2,ack,0,0,0,True,606422000,628039000,18808000
baseline.linger-sweep,linger20-skip0,common,full,0,native,4096,4096,0,4096,0,1282000000,7000000,22000000,23000000,,20202001,21205001,1,4096,4096,548,2356483,8,20000000,22000000,0,ack,0,0,0,True,1260000000,1282000000,19000000
baseline.linger-sweep,linger20-skip1,original,full,0,classic,4096,4096,0,4096,0,628039000,2808000,21212000,22213000,,20010000,21011000,1,4096,4096,347,2358705,12,18808000,20809000,2,ack,0,0,0,True,606422000,628039000,18808000
baseline.linger-sweep,linger20-skip1,original,full,0,native,4096,4096,0,4096,0,513000000,4000000,8000000,10000000,,6582000,8214000,1,4096,4096,2748,2614520,1,8000000,10000000,0,ack,0,0,0,True,506000000,513000000,8000000
baseline.linger-sweep,linger20-skip1,common,full,0,classic,4096,4096,0,4096,0,628039000,2808000,21212000,22213000,,20010000,21011000,1,4096,4096,347,2358705,12,18808000,20809000,2,ack,0,0,0,True,606422000,628039000,18808000
baseline.linger-sweep,linger20-skip1,common,full,0,native,4096,4096,0,4096,0,1282000000,7000000,22000000,23000000,,20202001,21205001,1,4096,4096,548,2356483,8,20000000,22000000,0,ack,0,0,0,True,1260000000,1282000000,19000000
baseline.partition-fanout-skew,p1-skew0,original,full,0,classic,4096,4096,0,4096,0,603371000,5015000,5215000,8224000,,4013000,7022000,1,4096,4096,586,2365565,7,4212000,4212000,0,ack,0,0,0,True,596955000,603371000,10000000
