scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.linger-sweep,linger20-skip0,common,0,raw,4096,4096,0,4096,0,22000000,22000000,534,2354602,22000000,20205001,1,1162000000
baseline.linger-sweep,linger20-skip0,common,0,estimated-wire,4096,4096,0,4096,0,22000000,23000000,548,2356483,22000000,21205001,1,1282000000
baseline.linger-sweep,linger20-skip0,original,0,raw,4096,4096,0,4096,0,22000000,22000000,548,2355285,22000000,20203000,1,1148000000
baseline.linger-sweep,linger20-skip0,original,0,estimated-wire,4096,4096,0,4096,0,22000000,22000000,556,2356255,22000000,20203000,1,1222000000
baseline.linger-sweep,linger20-skip1,common,0,raw,4096,4096,0,4096,0,22000000,22000000,534,2354602,22000000,20205001,1,1162000000
baseline.linger-sweep,linger20-skip1,common,0,estimated-wire,4096,4096,0,4096,0,22000000,23000000,548,2356483,22000000,21205001,1,1282000000
baseline.linger-sweep,linger20-skip1,original,0,raw,4096,4096,0,4096,0,8000000,12000000,2739,2613458,12000000,10218000,1,513000000
baseline.linger-sweep,linger20-skip1,original,0,estimated-wire,4096,4096,0,4096,0,8000000,10000000,2748,2614520,10000000,8214000,1,513000000
baseline.linger-sweep,linger5-skip0,common,0,raw,4096,4096,0,4096,0,7000000,9000000,614,2368348,9000000,6821001,1,619000000
baseline.linger-sweep,linger5-skip0,common,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,640,2369467,9000000,6821001,1,607000000
baseline.linger-sweep,linger5-skip0,original,0,raw,4096,4096,0,4096,0,7000000,9000000,682,2370732,8000000,6821000,1,598000000
baseline.linger-sweep,linger5-skip0,original,0,estimated-wire,4096,4096,0,4096,0,7000000,8000000,681,2370614,8000000,5820000,1,598000000
baseline.linger-sweep,linger5-skip1,common,0,raw,4096,4096,0,4096,0,7000000,9000000,614,2368348,9000000,6821001,1,619000000
baseline.linger-sweep,linger5-skip1,common,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,640,2369467,9000000,6821001,1,607000000
baseline.linger-sweep,linger5-skip1,original,0,raw,4096,4096,0,4096,0,8000000,9000000,2737,2613222,8000000,7473000,1,510000000
baseline.linger-sweep,linger5-skip1,original,0,estimated-wire,4096,4096,0,4096,0,8000000,9000000,2752,2614992,8000000,7413000,1,513000000
baseline.open-loop-rate,rate2000,common,0,raw,40000,40000,0,40000,0,7000000,7500000,16874,24360247,7500000,5818001,1,20006000000
baseline.open-loop-rate,rate2000,common,0,estimated-wire,40000,40000,0,40000,0,7000000,7500000,16874,24360247,7500000,5818001,1,20006000000
baseline.open-loop-rate,rate2000,original,0,raw,40000,40000,0,40000,0,6500000,7500000,16874,24360364,7500000,5819000,1,20006000000
baseline.open-loop-rate,rate2000,original,0,estimated-wire,40000,40000,0,40000,0,6500000,7500000,16874,24360364,7500000,5819000,1,20006000000
baseline.open-loop-rate,rate32000,common,0,raw,640000,347933,292067,347933,0,6375000,8093750,43201,199726865,7750000,6539750,1,20007000000
baseline.open-loop-rate,rate32000,common,0,estimated-wire,640000,360513,279487,360513,0,6250000,7875000,43913,206790017,7875000,6664751,1,20007000000
baseline.open-loop-rate,rate32000,original,0,raw,640000,509644,130356,509644,0,4968750,7281250,63740,292458803,7031250,6071000,1,20007000000
baseline.open-loop-rate,rate32000,original,0,estimated-wire,640000,509644,130356,509644,0,4968750,7125000,63736,292458331,7031250,5820000,1,20007000000
baseline.open-loop-rate,rate500,common,0,raw,10000,10000,0,10000,0,7000000,8000000,7970,6539575,8000000,5818001,1,20005000000
baseline.open-loop-rate,rate500,common,0,estimated-wire,10000,10000,0,10000,0,7000000,8000000,7970,6539575,8000000,5818001,1,20005000000
baseline.open-loop-rate,rate500,original,0,raw,10000,10000,0,10000,0,7000000,8000000,7970,6539692,8000000,5819000,1,20005000000
baseline.open-loop-rate,rate500,original,0,estimated-wire,10000,10000,0,10000,0,7000000,8000000,7970,6539692,8000000,5819000,1,20005000000
baseline.open-loop-rate,rate8000,common,0,raw,160000,160000,0,160000,0,6875000,7625000,23437,92214749,7125000,5818000,1,20006000000
baseline.open-loop-rate,rate8000,common,0,estimated-wire,160000,160000,0,160000,0,6875000,7625000,23437,92214681,7500000,6196001,1,20006000000
baseline.open-loop-rate,rate8000,original,0,raw,160000,160000,0,160000,0,6500000,7375000,23438,92214916,7125000,5818000,1,20006000000
baseline.open-loop-rate,rate8000,original,0,estimated-wire,160000,160000,0,160000,0,6500000,7375000,23437,92214798,7125000,5820000,1,20006000000
baseline.partition-admission-skew,hot-rate32000-pressure,common,0,raw,320008,79824,240184,79824,0,8031250,8468750,9978,45799192,8000000,6821752,1,10208000000
baseline.partition-admission-skew,hot-rate32000-pressure,common,0,estimated-wire,320008,159563,160445,159563,0,4031250,8000000,9974,90372821,8000000,5818001,1,10204000000
baseline.partition-admission-skew,hot-rate32000-pressure,original,0,raw,320008,79808,240200,79808,0,6031250,8000000,9976,45790012,8000000,5818000,1,10206000000
